# [BinQ2] [BinPt] [BinXb] [BinAs] [Q2] [Pt] [Xb] [As]
0 0 0 0 2.11709 0.0722361 0.165066 1.32369
0 0 0 1 2.11472 0.0689764 0.164367 1.37204
0 0 0 2 2.11733 0.0712917 0.165197 1.42107
0 0 0 3 2.13534 0.0755999 0.166158 1.47618
0 0 0 4 2.10732 0.0682326 0.164322 1.52329
0 0 0 5 2.12572 0.0782144 0.164986 1.57535
0 0 1 0 2.23442 0.0681012 0.187658 1.32285
0 0 1 1 2.23387 0.066713 0.186962 1.37273
0 0 1 2 2.2343 0.0690073 0.187356 1.42384
0 0 1 3 2.2304 0.066395 0.186694 1.47468
0 0 1 4 2.23471 0.0688004 0.187895 1.52118
0 0 1 5 2.32862 0.0681464 0.186577 1.56261
0 0 2 0 2.25339 0.0617768 0.211489 1.32393
0 0 2 1 2.25993 0.0607751 0.210756 1.37285
0 0 2 2 2.26373 0.0629167 0.212301 1.4215
0 0 2 3 2.26059 0.0629355 0.211973 1.472
0 0 2 4 2.30523 0.0692977 0.207535 1.51067
0 0 2 5 2.47865 0.0543153 0.200273 1.56008
0 0 3 0 2.24402 0.0605839 0.236636 1.3225
0 0 3 1 2.25398 0.0620442 0.2358 1.3728
0 0 3 2 2.24091 0.058665 0.235966 1.42277
0 0 3 3 2.3191 0.0570662 0.232094 1.46693
0 0 3 4 2.35049 0.0546594 0.226624 1.49741
0 0 3 5 0 0 0 0
0 0 4 0 2.26704 0.0560857 0.262067 1.32444
0 0 4 1 2.26317 0.0575146 0.260745 1.37139
0 0 4 2 2.34475 0.057134 0.257493 1.41437
0 0 4 3 2.47642 0.0854211 0.24909 1.45773
0 0 4 4 0 0 0 0
0 0 4 5 0 0 0 0
0 0 5 0 2.24241 0.0570098 0.285786 1.32279
0 0 5 1 2.36688 0.0519811 0.283254 1.36687
0 0 5 2 2.41021 0.00912723 0.274661 1.3998
0 0 5 3 0 0 0 0
0 0 5 4 0 0 0 0
0 0 5 5 0 0 0 0
0 1 0 0 2.11264 0.116987 0.165784 1.32765
0 1 0 1 2.11364 0.118525 0.164408 1.37186
0 1 0 2 2.12473 0.127156 0.165935 1.4241
0 1 0 3 2.12408 0.135787 0.166583 1.47221
0 1 0 4 2.12313 0.137045 0.165401 1.52421
0 1 0 5 2.12703 0.1398 0.163553 1.57005
0 1 1 0 2.2396 0.11974 0.187928 1.3262
0 1 1 1 2.22903 0.124313 0.187476 1.37395
0 1 1 2 2.24344 0.13147 0.187075 1.42386
0 1 1 3 2.21308 0.139332 0.186225 1.47393
0 1 1 4 2.236 0.149669 0.187098 1.52391
0 1 1 5 2.31478 0.150836 0.183226 1.56486
0 1 2 0 2.24539 0.122169 0.212335 1.32473
0 1 2 1 2.23429 0.130261 0.212301 1.37353
0 1 2 2 2.24747 0.139737 0.211135 1.42458
0 1 2 3 2.23784 0.143998 0.211112 1.47324
0 1 2 4 2.31791 0.14837 0.207254 1.5176
0 1 2 5 2.39123 0.13765 0.200418 1.55091
0 1 3 0 2.24192 0.127499 0.236926 1.32529
0 1 3 1 2.25542 0.136039 0.237278 1.37381
0 1 3 2 2.26769 0.14568 0.236815 1.42196
0 1 3 3 2.32918 0.138731 0.231915 1.46687
0 1 3 4 2.45962 0.144231 0.227452 1.50279
0 1 3 5 0 0 0 0
0 1 4 0 2.26516 0.135428 0.262723 1.32422
0 1 4 1 2.26725 0.144732 0.261606 1.37173
0 1 4 2 2.34792 0.139108 0.257943 1.41367
0 1 4 3 2.44907 0.149167 0.251597 1.45375
0 1 4 4 0 0 0 0
0 1 4 5 0 0 0 0
0 1 5 0 2.27915 0.13651 0.28603 1.32254
0 1 5 1 2.36078 0.151347 0.284591 1.36447
0 1 5 2 2.47786 0.166837 0.27749 1.40502
0 1 5 3 0 0 0 0
0 1 5 4 0 0 0 0
0 1 5 5 0 0 0 0
1 0 0 0 2.69274 0.0675357 0.213494 1.3245
1 0 0 1 2.69094 0.0663856 0.213693 1.37259
1 0 0 2 2.68519 0.0671542 0.212696 1.42413
1 0 0 3 2.69214 0.070816 0.215174 1.47352
1 0 0 4 2.69487 0.0698762 0.214501 1.52129
1 0 0 5 2.69789 0.0957079 0.205877 1.55914
1 0 1 0 2.87056 0.0633584 0.238022 1.32596
1 0 1 1 2.85637 0.0638645 0.238781 1.37232
1 0 1 2 2.83067 0.0651839 0.237185 1.42211
1 0 1 3 2.81918 0.064261 0.236474 1.47468
1 0 1 4 2.97045 0.0772721 0.232373 1.52019
1 0 1 5 3.025 0.08125 0.22625 1.55125
1 0 2 0 2.98206 0.0612258 0.261498 1.32266
1 0 2 1 2.99377 0.0599227 0.261585 1.37226
1 0 2 2 2.98954 0.0609699 0.262443 1.42265
1 0 2 3 3.08755 0.0643707 0.260914 1.46866
1 0 2 4 3.32761 0.0786754 0.258555 1.50799
1 0 2 5 0 0 0 0
1 0 3 0 2.99002 0.0596393 0.286686 1.32453
1 0 3 1 2.97311 0.0565501 0.286131 1.37362
1 0 3 2 3.10765 0.0568281 0.286337 1.42052
1 0 3 3 3.34161 0.062229 0.284639 1.45954
1 0 3 4 0 0 0 0
1 0 3 5 0 0 0 0
1 0 4 0 3.01867 0.0558372 0.310436 1.32517
1 0 4 1 3.07636 0.0550138 0.310911 1.36677
1 0 4 2 3.25847 0.0545585 0.306674 1.41531
1 0 4 3 0 0 0 0
1 0 4 4 0 0 0 0
1 0 4 5 0 0 0 0
1 0 5 0 3.07283 0.0555169 0.336577 1.32041
1 0 5 1 3.26636 0.0500493 0.33508 1.36391
1 0 5 2 3.44853 0.0519118 0.326728 1.40301
1 0 5 3 0 0 0 0
1 0 5 4 0 0 0 0
1 0 5 5 0 0 0 0
1 1 0 0 2.68288 0.117339 0.214135 1.3262
1 1 0 1 2.70123 0.12122 0.213737 1.37453
1 1 0 2 2.6669 0.131874 0.214016 1.42503
1 1 0 3 2.68621 0.140861 0.214282 1.47117
1 1 0 4 2.68814 0.140126 0.213585 1.52312
1 1 0 5 2.75531 0.176037 0.209281 1.55923
1 1 1 0 2.82552 0.121195 0.237612 1.32518
1 1 1 1 2.82734 0.126424 0.238121 1.3734
1 1 1 2 2.8181 0.135259 0.237142 1.42384
