# [BinQ2] [BinPt] [BinXb] [BinAs] [Q2] [Pt] [Xb] [As]
0 0 0 0 2.12819 0.0693904 0.165715 1.32305
0 0 0 1 2.12682 0.0698264 0.165752 1.37257
0 0 0 2 2.12014 0.0706011 0.165498 1.42367
0 0 0 3 2.12589 0.0720515 0.165828 1.47113
0 0 0 4 2.12308 0.0763317 0.165864 1.51956
0 0 0 5 2.107 0.0727285 0.16529 1.55744
0 0 1 0 2.25055 0.0660256 0.18703 1.32278
0 0 1 1 2.24516 0.0666104 0.187477 1.37319
0 0 1 2 2.24688 0.067958 0.187027 1.42338
0 0 1 3 2.24505 0.069442 0.187457 1.4727
0 0 1 4 2.24503 0.0718478 0.186541 1.52064
0 0 1 5 2.26285 0.0745964 0.184673 1.55759
0 0 2 0 2.26111 0.0620798 0.211878 1.32281
0 0 2 1 2.24967 0.0619789 0.21174 1.37323
0 0 2 2 2.26163 0.0623591 0.211999 1.42386
0 0 2 3 2.26241 0.0648224 0.211293 1.47266
0 0 2 4 2.33657 0.069917 0.208625 1.51472
0 0 2 5 2.4711 0.0609367 0.201486 1.55788
0 0 3 0 2.25603 0.0585255 0.236746 1.32341
0 0 3 1 2.26242 0.0579895 0.236622 1.37288
0 0 3 2 2.27943 0.0589913 0.236101 1.42354
0 0 3 3 2.36404 0.0577259 0.233854 1.46757
0 0 3 4 2.49015 0.0991899 0.228112 1.51104
0 0 3 5 0 0 0 0
0 0 4 0 2.26125 0.0558207 0.261787 1.32279
0 0 4 1 2.26391 0.055391 0.261431 1.37131
0 0 4 2 2.33022 0.0568679 0.258073 1.415
0 0 4 3 2.46374 0.0463944 0.254386 1.45542
0 0 4 4 0 0 0 0
0 0 4 5 0 0 0 0
0 0 5 0 2.27411 0.053826 0.286227 1.32236
0 0 5 1 2.36163 0.0511536 0.284007 1.36652
0 0 5 2 2.45075 0.0635367 0.278144 1.40557
0 0 5 3 0 0 0 0
0 0 5 4 0 0 0 0
0 0 5 5 0 0 0 0
0 1 0 0 2.12324 0.114531 0.166239 1.32635
0 1 0 1 2.12506 0.121592 0.165837 1.37565
0 1 0 2 2.12073 0.12854 0.165571 1.4247
0 1 0 3 2.12856 0.136894 0.166023 1.47378
0 1 0 4 2.12575 0.141447 0.165903 1.52012
0 1 0 5 2.11901 0.1271 0.165172 1.55814
0 1 1 0 2.22768 0.117457 0.187926 1.32525
0 1 1 1 2.23579 0.125294 0.187691 1.37528
0 1 1 2 2.23803 0.1338 0.187306 1.4235
0 1 1 3 2.23687 0.142109 0.18662 1.47413
